Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Філіпенко,Нестор,Алевтинович,Чоловіча,09.11.1976,Археолог,хутір Тальне,"проспект Леонова, буд. 496, Сколе, 12066",044 211-07-78,mandreiko@example.com
Яковенко,Прохір,Зорянович,Чоловіча,27.08.1985,Мовознавець,село Кропивницький,"провулок 4-та Лінія Марії Демченко, буд. 7, Прип'ять , 54602",015 085 44 02,iukhymenkoamvrosii@example.com
Баранець,Федір,Зиновійович,Чоловіча,14.07.1990,Журналіст,селище Глухів,"вулиця Юрженка Олександра, буд. 42, Теплодар, 66356",+380 40 982-25-31,varvarababenko@example.com
Лукаш,Степан,Аврелійович,Чоловіча,11.07.1955,Складальник,селище Білозерське,"сквер Лиманчик 2-й Лінія 9-та, буд. 009 кв. 70, Кальміуське, 13557",+380 (38) 431-11-86,anzhela05@example.org
Шведченко,Едуард,Остапович,Чоловіча,18.02.1946,Мікробіолог,селище Жданівка,"вулиця Десята, буд. 34, Могилів-Подільський, 56638",+380 (06) 353-64-34,ievanestaiko@example.com
Чорновіл,Валерій,Аврелійович,Чоловіча,28.03.1944,Археолог,село Чугуїв,"сквер Соляний 2-й, буд. 3, Феодосія, 14868",312-29-71,kalchenkoorysia@example.com
Левченко,Ілля,Костянтинович,Чоловіча,06.11.1993,Економіст,хутір Добромиль,"провулок Гоголя, буд. 5 кв. 48, Калинівка , 74760",+380 88 280 36 34,vchumachenko@example.com
Стус,Борислав,Володимирович,Чоловіча,02.11.1966,Конструктор,місто Вишневе ,"шосе Новикова, буд. 0, Зеленодольськ, 56177",+380 11 424-22-38,dashkevychieva@example.net
Рябченко,Леонтій,Варфоломійович,Чоловіча,21.07.1953,Архітектор,селище Мостиська,"проспект Олексіївська, буд. 6 кв. 3, Чугуїв, 32156",970-19-65,ustym93@example.com
Ґереґа,Арсен,Єфремович,Чоловіча,16.09.1964,Реабілітолог,місто Коростишів,"узвіз Аеропортівський 4-й, буд. 429, Червоноград, 24548",065 307-23-58,iustynaiatsenko@example.com
Шило,Ярема,Захарович,Чоловіча,08.05.1996,Продюсер,село Семенівка,"вулиця Митракова, буд. 717, Яремче, 91341",134 27 77,oleksa46@example.net
Шутько,Августин,Яремович,Чоловіча,14.12.1985,Професор,місто Миронівка,"шосе Демократична, буд. 99, Федорівка, 02464",010 448 53 87,tsushkoleon@example.com
Полтавець,Адам,Демʼянович,Чоловіча,31.07.1973,Намотувальник,місто Старий Крим,"вулиця Сільськогосподарський, буд. 434 кв. 52, Тячів, 88194",+380 99 327-90-69,vitaliibabak@example.com
Зінченко,Іван,Хомович,Чоловіча,20.04.1967,Драматург,село Богодухів,"площа Лінія 31-ша, буд. 968, Бурштин , 85945",096 351 49 80,zaleksiichuk@example.net
Тихий,Олег,Демʼянович,Чоловіча,18.10.1957,Мікробіолог,місто Красилів,"провулок Курська, буд. 4, Дунаївці, 44027",+380 12 566-77-70,leopoldsheremeta@example.net
Бандура,Борис,Михайлович,Чоловіча,08.02.1983,Зоолог,село Жовква,"парк Чехова, буд. 4, Бахмут, 48884",+380 90 998 18 76,orest93@example.com
Бабариченко,Павло,Русланович,Чоловіча,15.04.1964,Епідеміолог,село Погребище,"сквер Куниці, буд. 529 кв. 28, Вознесенівка, 06432",506 55 98,albinavlasenko@example.net
Василечко,Симон,Пантелеймонович,Чоловіча,26.11.1956,Агроном,хутір Харків,"вулиця Лінія 46-та, буд. 8, Ізюм, 75409",+380 47 317 59 04,petliuraklyment@example.com
Абраменко,Ростислав,Богуславович,Чоловіча,15.11.1983,Кінокритик,селище Львів,"узвіз Баштанна, буд. 142, Чорнобиль, 34785",063 555-53-73,wsahal@example.org
Аврамчук,Артем,Алевтинович,Чоловіча,31.05.1944,Ді-джей,місто Узин,"провулок Вершинна, буд. 273 кв. 334, Південне , 64654",078 447 12 01,andriiskyrda@example.org
Панчук,Степан,Глібович,Чоловіча,21.02.1968,Географ,хутір Буча,"сквер Нечипуренка, буд. 28, Городок, 23999",+380 28 189-51-93,dsemenchenko@example.com
Давимука,Руслан,Климентович,Чоловіча,02.01.1965,Бібліограф,село Трускавець,"площа Івана Вазова, буд. 9, Івано-Франківськ, 52908",+380 98 912-22-77,mriabchenko@example.com
Гресь,Данило,Мирославович,Чоловіча,12.01.1969,Провізор,селище Тлумач,"парк Лінія 40-ва, буд. 7 кв. 6, Новомиргород, 11052",+380 63 428 23 78,albinasirchenko@example.com
Редько,Йосип,Юхимович,Чоловіча,13.10.1968,Будник,село Золотоноша,"площа Станційна 1-ша, буд. 27 кв. 551, Прилуки, 44999",+380 (72) 407-91-69,okhrimzasukha@example.org
Байдак,Давид,Ігорович,Чоловіча,05.01.1983,Юрист,місто Великі Мости,"проспект Літакова, буд. 50 кв. 5, Київ, 86879",029 009-55-06,pustovitvarvara@example.org
Охримович,Григорій,Євгенійович,Чоловіча,06.07.1955,Прокурор,селище Зимогір'я,"провулок Нова, буд. 6, Тисмениця, 09282",007 387-69-82,albinaieremenko@example.org
Проценко,Богуслав,Ігнатович,Чоловіча,01.08.1945,Менеджер,місто Ватутіне,"площа Семінарська, буд. 737, Монастирище, 84986",051 492-55-98,xvoblyi@example.org
Корбут,Артем,Аврелійович,Чоловіча,21.01.1955,Публіцист,село Глиняни,"площа Івасюка Володимира, буд. 1, Одеса, 98287",069 361 81 55,edzhus@example.net
Сацюк,Вʼячеслав,Георгійович,Чоловіча,04.03.1964,Вчитель,місто Збараж,"проспект Прохоровський, буд. 3, Полонне, 56457",+380 58 769-05-90,kovaliukeduard@example.com
Дашкевич,Пилип,Симонович,Чоловіча,17.07.1940,Бібліотекар,селище Немирів,"парк Обільний 1-й, буд. 546 кв. 3, Подільськ, 77019",065 15 55,shyloihor@example.com
Литвиненко,Леонтій,Олесьович,Чоловіча,01.09.1989,Круп'є,селище Тиврів,"проспект Хаджибейський 2-й, буд. 5, Черкаси, 81637",713-28-58,anastasiiavernyhora@example.org
Іщенко,Володимир,Олегович,Чоловіча,08.03.1987,Сантехнік,хутір Дубно,"парк Смоленська, буд. 1, Торецьк, 12455",+380 56 376 34 75,korsunieva@example.org
Чекалюк,Петро,Олесьович,Чоловіча,02.01.1960,Євнух,місто Приморськ (Україна),"набережна Новгородський, буд. 33 кв. 718, Горішні Плавні, 01461",+380 43 488-93-57,danylo23@example.org
Панчук,Артем,Васильович,Чоловіча,13.12.2001,Журналіст,селище Судак ,"проспект Лінія 37-ма, буд. 2, Новий Буг, 92921",+380 25 494-98-04,erikaandriichuk@example.net
Дараган,Федір,Вʼячеславович,Чоловіча,08.03.2001,Маркетолог,хутір Ланівці,"набережна Гімназична, буд. 356 кв. 1, Вільнянськ, 09038",494 55 57,nestorpetrenko@example.net
Христенко,Азар,Устимович,Чоловіча,18.12.1993,Пекар,місто Старокостянтинів,"сквер Курська, буд. 256, Жовква, 93933",+380 38 332-68-45,zshcherbak@example.net
Артеменко,Аврелій,Єфремович,Чоловіча,17.10.1954,Намотувальник,місто Нова Одеса,"сквер Катаєва, буд. 96, Чорнобиль, 46002",+380 03 209-66-92,izarudnyi@example.com
Карпа,Михайло,Вадимович,Чоловіча,06.04.2004,Слідчий,місто Семенівка,"проспект Агрономічна, буд. 005, Пустомити, 46304",913 71 91,iustyna80@example.com
